team,shirt_number,player_name,is_captain,position,age,date_of_birth,nationality,club,caps,goals,market_value_eur,tournament_goals,tournament_assists
South Africa,,Oswin Appollis,0,FW,24,2001-08-25,South Africa,Orlando Pirates,25,8,2000000,0,0
South Africa,,Tshepang Moremi,0,FW,25,2000-10-02,South Africa,Orlando Pirates,9,1,1000000,0,0
South Africa,,Lyle Foster,0,FW,25,2000-09-03,South Africa,Burnley,26,10,8000000,0,0
South Africa,,Relebohile Mofokeng,0,FW,21,2004-10-23,South Africa,Orlando Pirates,12,0,2000000,0,0
South Africa,,Themba Zwane,0,MF,36,1989-08-03,South Africa,Mamelodi Sundowns,53,12,300000,0,0
South Africa,,Thapelo Maseko,0,FW,22,2003-11-11,South Africa,AEL Limassol,9,1,750000,0,0
South Africa,,Sphephelo Sithole,0,MF,27,1999-03-03,South Africa,Tondela,27,1,,0,0
South Africa,,Mbekezeli Mbokazi,0,DF,20,2005-09-19,South Africa,Chicago Fire FC,10,1,3500000,0,0
South Africa,,Iqraam Rayners,0,FW,30,1995-12-19,South Africa,Mamelodi Sundowns,13,4,3000000,0,0
South Africa,,Sipho Chaine,0,GK,29,1996-12-14,South Africa,Orlando Pirates,3,0,1400000,0,0
South Africa,,Evidence Makgopa,0,FW,26,2000-06-05,South Africa,Orlando Pirates,26,6,1200000,0,0
South Africa,,Samukele Kabini,0,DF,22,2004-03-15,South Africa,Molde,5,0,2500000,0,0
South Africa,,Nkosinathi Sibisi,0,DF,30,1995-09-22,South Africa,Orlando Pirates,19,0,1600000,0,0
South Africa,,Khuliso Mudau,0,DF,31,1995-04-26,South Africa,Mamelodi Sundowns,32,1,1200000,0,0
South Africa,,Ime Okon,0,DF,22,2004-02-20,South Africa,Hannover 96,7,1,2000000,0,0
South Africa,,Ricardo Goss,0,GK,32,1994-04-02,South Africa,Siwelele,4,0,350000,0,0
South Africa,,Jayden Adams,0,MF,25,2001-05-05,South Africa,Mamelodi Sundowns,4,0,1400000,0,0
South Africa,,Olwethu Makhanya,0,DF,22,2004-04-30,South Africa,Philadelphia Union,0,0,2000000,0,0
South Africa,,Kamogelo Sebelebele,0,FW,23,2002-07-21,South Africa,Orlando Pirates,2,0,850000,0,0
South Africa,,Bradley Cross,0,DF,25,2001-01-30,South Africa,Kaizer Chiefs,0,0,650000,0,0
South Korea,,Kim Seung-gyu,0,GK,35,1990-09-30,South Korea,FC Tokyo,87,0,500000,0,0
South Korea,,Lee Han-beom,0,DF,23,2002-06-17,South Korea,Midtjylland,8,0,3000000,0,0
South Korea,,Lee Gi-hyuk,0,MF,25,2000-07-07,South Korea,Gangwon FC,3,0,800000,0,0
South Korea,,Kim Min-jae,0,DF,29,1996-11-15,South Korea,Bayern Munich,79,4,20000000,0,0
