team,player_name,market_value_eur
Argentina,Gonzalo Montiel,4500000
Argentina,Leandro Paredes,5000000
Argentina,Enzo Fernández,90000000
Argentina,Alexis Mac Allister,70000000
Argentina,Valentín Barco,40000000
Argentina,Exequiel Palacios,25000000
Argentina,Rodrigo De Paul,14000000
Argentina,Nico Paz,80000000
Argentina,Giovani Lo Celso,10000000
Argentina,Nico González,24000000
Argentina,Thiago Almada,20000000
Argentina,Giuliano Simeone,40000000
Argentina,Lionel Messi,15000000
Argentina,Julián Álvarez,90000000
Argentina,Lautaro Martínez,85000000
Argentina,José Manuel López,25000000
Norway,Sander Tangvik,3000000
Norway,Egil Selvik,1500000
Norway,Ørjan Nyland,900000
Norway,Kristoffer Ajer,18000000
Norway,Leo Østigård,13000000
Norway,Torbjørn Heggem,13000000
Norway,Henrik Falchener,6000000
Norway,Sondre Langås,4000000
Norway,David Møller Wolfe,8000000
Norway,Fredrik Bjørkan,3500000
Norway,Julian Ryerson,25000000
Norway,Marcus Pedersen,3500000
Norway,Sander Berge,25000000
Norway,Patrick Berg,8000000
Norway,Fredrik Aursnes,15000000
Norway,Kristian Thorstvedt,12000000
Norway,Morten Thorsby,2800000
Norway,Martin Ødegaard,65000000
Norway,Thelo Aasgaard,2800000
Norway,Antonio Nusa,32000000
Norway,Andreas Schjelderup,30000000
Norway,Jens Petter Hauge,12000000
Norway,Oscar Bobb,28000000
Norway,Erling Haaland,200000000
Norway,Jørgen Strand Larsen,40000000
Norway,Alexander Sørloth,20000000
Belgium,Senne Lammens,35000000
Belgium,Mike Penders,25000000
Belgium,Thibaut Courtois,18000000
Belgium,Zeno Debast,28000000
Belgium,Nathan Ngoy,25000000
Belgium,Koni De Winter,23000000
Belgium,Arthur Theate,17000000
Belgium,Brandon Mechele,2800000
Belgium,Maxim De Cuyper,22000000
Belgium,Joaquin Seys,20000000
Belgium,Timothy Castagne,8000000
Belgium,Thomas Meunier,1500000
Belgium,Amadou Onana,45000000
Belgium,Nicolas Raskin,12000000
Belgium,Axel Witsel,1400000
Belgium,Youri Tielemans,30000000
Belgium,Alexis Saelemaekers,20000000
Belgium,Diego Moreira,25000000
Belgium,Charles De Ketelaere,30000000
Belgium,Kevin De Bruyne,8000000
Belgium,Hans Vanaken,5000000
Belgium,Jérémy Doku,75000000
Belgium,Leandro Trossard,18000000
Belgium,Dodi Lukébakio,15000000
Belgium,Matias Fernandez-Pardo,35000000
Belgium,Romelu Lukaku,6000000
Ivory Coast,Yahia Fofana,5000000
Ivory Coast,Alban Lafont,3000000
Ivory Coast,Mohamed Koné,2000000
Ivory Coast,Ousmane Diomande,42000000
Ivory Coast,Evan Ndicka,35000000
Ivory Coast,Wilfried Singo,23000000
Ivory Coast,Emmanuel Agbadou,16000000
Ivory Coast,Odilon Kossounou,15000000
Ivory Coast,Christopher Operi,4000000
Ivory Coast,Ghislain Konan,3000000
Ivory Coast,Guéla Doué,20000000
Ivory Coast,Ibrahim Sangaré,20000000
Ivory Coast,Jean Michaël Seri,100000
Ivory Coast,Christ Inao Oulaï,23000000
Ivory Coast,Franck Kessié,12000000
Ivory Coast,Seko Fofana,8000000
Ivory Coast,Yan Diomande,90000000
Ivory Coast,Bazoumana Touré,40000000
Ivory Coast,Simon Adingra,22000000
Ivory Coast,Parfait Guiagon,5000000
Ivory Coast,Amad Diallo,45000000
Ivory Coast,Evann Guessand,25000000
Ivory Coast,Nicolas Pépé,6000000
Ivory Coast,Ange-Yoan Bonny,35000000
Ivory Coast,Elye Wahi,18000000
Ivory Coast,Oumar Diakité,5000000
Morocco,Yassine Bounou,3000000
