team,player_name,position,age,date_of_birth,caps,goals,club
Paraguay,Braian Ojeda,MF,25,2000-06-27,16,0,Orlando City SC
Paraguay,Gabriel Ávalos,FW,35,1990-10-12,22,2,Independiente
Paraguay,Gastón Olveira,GK,33,1993-04-21,1,0,Olimpia
Paraguay,Matías Galarza,MF,24,2002-02-11,14,2,Atlanta United FC
Paraguay,Gustavo Caballero,MF,24,2001-09-21,2,1,Portsmouth
Paraguay,Isidro Pitta,FW,26,1999-08-14,5,0,Red Bull Bragantino
Paraguay,Alexandro Maidana,DF,20,2005-07-26,1,0,Talleres
Turkey,Mert Günok,GK,37,1989-03-01,37,0,Fenerbahçe
Turkey,Zeki Çelik,DF,29,1997-02-17,60,3,Roma
Turkey,Merih Demiral,DF,28,1998-03-05,61,6,Al-Ahli
Turkey,Çağlar Söyüncü,DF,30,1996-05-23,60,2,Fenerbahçe
Turkey,Salih Özcan,MF,28,1998-01-11,29,1,Borussia Dortmund
Turkey,Orkun Kökçü,MF,25,2000-12-29,49,4,Beşiktaş
Turkey,Kerem Aktürkoğlu,FW,27,1998-10-21,51,15,Fenerbahçe
Turkey,Arda Güler,FW,21,2005-02-25,28,6,Real Madrid
Turkey,Deniz Gül,FW,21,2004-07-02,7,2,Porto
Turkey,Hakan Çalhanoğlu (captain),MF,32,1994-02-08,104,22,Inter Milan
Turkey,Kenan Yıldız,FW,21,2005-05-04,28,5,Juventus
Turkey,Altay Bayındır,GK,28,1998-04-14,12,0,Manchester United
Turkey,Eren Elmalı,DF,25,2000-07-07,22,0,Galatasaray
Turkey,Abdülkerim Bardakcı,DF,31,1994-09-07,26,2,Galatasaray
Turkey,Ozan Kabak,DF,26,2000-03-25,29,2,TSG Hoffenheim
Turkey,İsmail Yüksek,MF,27,1999-01-26,31,1,Fenerbahçe
Turkey,İrfan Can Kahveci,FW,30,1995-07-15,46,6,Kasımpaşa
Turkey,Mert Müldür,DF,27,1999-04-03,44,3,Fenerbahçe
Turkey,Yunus Akgün,FW,25,2000-07-07,18,3,Galatasaray
Turkey,Ferdi Kadıoğlu,DF,26,1999-10-07,30,2,Brighton & Hove Albion
Turkey,Barış Alper Yılmaz,FW,26,2000-05-23,34,3,Galatasaray
Turkey,Kaan Ayhan,MF,31,1994-11-10,73,5,Galatasaray
Turkey,Uğurcan Çakır,GK,30,1996-04-05,38,0,Galatasaray
Turkey,Oğuz Aydın,FW,25,2000-10-27,10,0,Fenerbahçe
Turkey,Samet Akaydin,DF,32,1994-03-13,19,1,Çaykur Rizespor
Turkey,Can Uzun,FW,20,2005-11-11,5,1,Eintracht Frankfurt
United States,Matt Turner,GK,31,1994-06-24,54,0,New England Revolution
United States,Sergiño Dest,DF,25,2000-11-03,38,3,PSV Eindhoven
United States,Chris Richards,DF,26,2000-03-28,36,3,Crystal Palace
United States,Tyler Adams,MF,27,1999-02-14,53,2,Bournemouth
United States,Antonee Robinson,DF,28,1997-08-08,53,4,Fulham
United States,Auston Trusty,DF,27,1998-08-12,7,0,Celtic
United States,Giovanni Reyna,MF,23,2002-11-13,37,9,Borussia Mönchengladbach
United States,Weston McKennie,MF,27,1998-08-28,65,12,Juventus
United States,Ricardo Pepi,FW,23,2003-01-09,36,13,PSV Eindhoven
United States,Christian Pulisic,FW,27,1998-09-18,85,33,Milan
United States,Brenden Aaronson,FW,25,2000-10-22,57,9,Leeds United
United States,Miles Robinson,DF,29,1997-03-14,39,3,FC Cincinnati
United States,Tim Ream (captain),DF,38,1987-10-05,81,1,Charlotte FC
United States,Sebastian Berhalter,MF,25,2001-05-10,12,1,Vancouver Whitecaps FC
United States,Cristian Roldan,MF,31,1995-06-03,46,0,Seattle Sounders FC
United States,Alex Freeman,DF,21,2004-08-09,16,2,Villarreal
United States,Malik Tillman,MF,24,2002-05-28,29,3,Bayer Leverkusen
United States,Maximilian Arfsten,DF,25,2001-04-19,19,1,Columbus Crew
United States,Haji Wright,FW,28,1998-03-27,20,7,Coventry City
United States,Folarin Balogun,FW,24,2001-07-03,26,9,Monaco
United States,Timothy Weah,FW,26,2000-02-22,50,7,Marseille
United States,Mark McKenzie,DF,27,1999-02-25,28,0,Toulouse
United States,Joe Scally,DF,23,2002-12-31,25,0,Borussia Mönchengladbach
United States,Matt Freese,GK,27,1998-09-02,14,0,New York City FC
United States,Chris Brady,GK,22,2004-03-03,1,0,Chicago Fire FC
United States,Alejandro Zendejas,FW,28,1998-02-07,14,2,América
Curaçao,Eloy Room,GK,37,1989-02-06,71,0,Miami FC
Curaçao,Shurandy Sambo,DF,24,2001-08-19,7,0,Sparta Rotterdam
Curaçao,Juriën Gaari,DF,32,1993-12-23,59,1,Abha
Curaçao,Roshon van Eijma,DF,28,1998-06-09,27,1,RKC Waalwijk
Curaçao,Sherel Floranus,DF,27,1998-08-23,27,0,PEC Zwolle
Curaçao,Godfried Roemeratoe,MF,26,1999-08-19,27,1,RKC Waalwijk
Curaçao,Juninho Bacuna,MF,28,1997-08-07,48,14,Volendam
Curaçao,Livano Comenencia,MF,22,2004-02-03,19,1,Zürich
Curaçao,Jürgen Locadia,FW,32,1993-11-07,13,1,Miami FC
Curaçao,Leandro Bacuna (captain),MF,34,1991-08-21,71,16,Iğdır
Curaçao,Jeremy Antonisse,FW,24,2002-03-29,26,3,Kifisia
Curaçao,Sontje Hansen,FW,24,2002-05-18,5,1,Middlesbrough
Curaçao,Tyrese Noslin,FW,23,2002-09-11,6,1,Telstar
Curaçao,Kenji Gorré,FW,31,1994-09-29,37,6,Maccabi Haifa
Curaçao,Ar'jany Martha,MF,22,2003-09-04,8,2,Rotherham United
Curaçao,Jearl Margaritha,FW,26,2000-04-10,21,5,Beveren
Curaçao,Brandley Kuwas,FW,33,1992-09-19,34,2,Volendam
Curaçao,Armando Obispo,DF,27,1999-03-05,5,0,PSV Eindhoven
Curaçao,Gervane Kastaneer,FW,30,1996-06-09,28,9,Terengganu
Curaçao,Joshua Brenet,DF,32,1994-03-20,17,1,Kayserispor
Curaçao,Tahith Chong,MF,26,1999-12-04,5,3,Sheffield United
Curaçao,Kevin Felida,MF,26,1999-11-11,19,1,Den Bosch
Curaçao,Riechedly Bazoer,DF,29,1996-10-12,4,0,Konyaspor
Curaçao,Deveron Fonville,DF,23,2003-05-16,1,0,NEC
Curaçao,Tyrick Bodak,GK,24,2002-05-15,4,0,Telstar
Curaçao,Trevor Doornbusch,GK,26,1999-07-06,7,0,VVV-Venlo
Ecuador,Hernán Galíndez,GK,39,1987-03-30,34,0,Huracán
Ecuador,Félix Torres,DF,29,1997-01-11,48,5,Internacional
Ecuador,Piero Hincapié,DF,24,2002-01-09,51,3,Arsenal
Ecuador,Joel Ordóñez,DF,22,2004-04-21,16,0,Club Brugge
Ecuador,Jordy Alcívar,MF,26,1999-08-05,10,1,Independiente del Valle
Ecuador,Willian Pacho,DF,24,2001-10-16,34,2,Paris Saint-Germain
Ecuador,Pervis Estupiñán,DF,28,1998-01-21,53,4,Milan
Ecuador,Anthony Valencia,MF,22,2003-07-21,2,1,Antwerp
Ecuador,John Yeboah,FW,25,2000-06-23,22,3,Venezia
Ecuador,Kendry Páez,MF,19,2007-05-04,25,2,River Plate
Ecuador,Kevin Rodríguez,FW,26,2000-03-04,31,2,Union Saint-Gilloise
Ecuador,Moisés Ramírez,GK,25,2000-09-09,7,0,Kifisia
Ecuador,Enner Valencia (captain),FW,36,1989-11-04,105,49,Pachuca
Ecuador,Alan Minda,MF,23,2003-05-14,19,2,Atlético Mineiro
Ecuador,Pedro Vite,MF,24,2002-03-09,16,1,UNAM
Ecuador,Jordy Caicedo,FW,28,1997-11-18,19,3,Huracán
Ecuador,Ángelo Preciado,DF,28,1998-02-18,54,0,Atlético Mineiro
Ecuador,Denil Castillo,MF,22,2004-03-24,5,0,Midtjylland
Ecuador,Gonzalo Plata,FW,25,2000-11-01,49,8,Flamengo
Ecuador,Nilson Angulo,FW,22,2003-06-19,13,1,Sunderland
Ecuador,Alan Franco,MF,27,1998-08-21,57,1,Atlético Mineiro
Ecuador,Gonzalo Valle,GK,30,1996-02-28,3,0,LDU Quito
Ecuador,Moisés Caicedo,MF,24,2001-11-02,60,3,Chelsea
Ecuador,Jeremy Arévalo,FW,21,2005-03-19,3,0,VfB Stuttgart
Ecuador,Jackson Porozo,DF,25,2000-08-04,9,1,Tijuana
Ecuador,Yaimar Medina,DF,21,2004-11-05,5,0,Genk
Germany,Manuel Neuer,GK,40,1986-03-27,124,0,Bayern Munich
Germany,Antonio Rüdiger,DF,33,1993-03-03,82,3,Real Madrid
Germany,Waldemar Anton,DF,29,1996-07-20,12,0,Borussia Dortmund
Germany,Jonathan Tah,DF,30,1996-02-11,46,1,Bayern Munich
Germany,Aleksandar Pavlović,MF,22,2004-05-03,10,1,Bayern Munich
Germany,Joshua Kimmich (captain),DF,31,1995-02-08,109,10,Bayern Munich
Germany,Kai Havertz,FW,27,1999-06-11,57,21,Arsenal
Germany,Leon Goretzka,MF,31,1995-02-06,69,15,Bayern Munich
Germany,Jamie Leweling,MF,25,2001-02-26,4,1,VfB Stuttgart
Germany,Jamal Musiala,MF,23,2003-02-26,41,9,Bayern Munich
Germany,Nick Woltemade,FW,24,2002-02-14,11,4,Newcastle United
Germany,Oliver Baumann,GK,36,1990-06-02,12,0,TSG Hoffenheim
Germany,Pascal Groß,MF,34,1991-06-15,18,1,Brighton & Hove Albion
Germany,Maximilian Beier,FW,23,2002-10-17,8,0,Borussia Dortmund
Germany,Nico Schlotterbeck,DF,26,1999-12-01,26,0,Borussia Dortmund
Germany,Angelo Stiller,MF,25,2001-04-04,7,0,VfB Stuttgart
Germany,Florian Wirtz,MF,23,2003-05-03,40,11,Liverpool
Germany,Nathaniel Brown,DF,22,2003-06-16,4,0,Eintracht Frankfurt
Germany,Leroy Sané,MF,30,1996-01-11,75,16,Galatasaray
Germany,Nadiem Amiri,MF,29,1996-10-27,10,1,Mainz 05
Germany,Alexander Nübel,GK,29,1996-09-30,3,0,VfB Stuttgart
Germany,David Raum,DF,28,1998-04-22,36,1,RB Leipzig
Germany,Felix Nmecha,MF,25,2000-10-10,7,1,Borussia Dortmund
Germany,Malick Thiaw,DF,24,2001-08-08,5,0,Newcastle United
Germany,Lennart Karl,MF,18,2008-02-22,3,0,Bayern Munich
Germany,Deniz Undav,FW,29,1996-07-19,8,6,VfB Stuttgart
Ivory Coast,Yahia Fofana,GK,25,2000-08-21,34,0,Çaykur Rizespor
Ivory Coast,Ousmane Diomande,DF,22,2003-12-04,14,1,Sporting CP
Ivory Coast,Ghislain Konan,DF,30,1995-12-27,53,0,Gil Vicente
Ivory Coast,Jean Michaël Seri,MF,34,1991-07-19,65,4,Maribor
Ivory Coast,Wilfried Singo,DF,25,2000-12-25,33,1,Galatasaray
Ivory Coast,Seko Fofana,MF,31,1995-05-07,31,7,Porto
Ivory Coast,Odilon Kossounou,DF,25,2001-01-04,35,0,Atalanta
Ivory Coast,Franck Kessié (captain),MF,29,1996-12-19,102,15,Al-Ahli
Ivory Coast,Ange-Yoan Bonny,FW,22,2003-10-25,0,0,Inter Milan
Ivory Coast,Simon Adingra,FW,24,2002-01-01,28,5,Monaco
Ivory Coast,Yan Diomande,FW,19,2006-11-14,9,3,RB Leipzig
Ivory Coast,Elye Wahi,FW,23,2003-01-02,1,0,Nice
Ivory Coast,Christopher Opéri,DF,29,1997-04-29,11,0,İstanbul Başakşehir
Ivory Coast,Oumar Diakité,FW,22,2003-12-20,28,6,Cercle Brugge
Ivory Coast,Amad Diallo,FW,23,2002-07-11,18,5,Manchester United
Ivory Coast,Mohamed Koné,GK,24,2002-03-07,0,0,Charleroi
Ivory Coast,Guéla Doué,DF,23,2002-10-17,19,2,Strasbourg
Ivory Coast,Ibrahim Sangaré,MF,28,1997-12-02,57,12,Nottingham Forest
Ivory Coast,Nicolas Pépé,FW,31,1995-05-29,54,12,Villarreal
Ivory Coast,Emmanuel Agbadou,DF,28,1997-06-17,19,2,Beşiktaş
Ivory Coast,Evan Ndicka,DF,26,1999-08-20,28,0,Roma
Ivory Coast,Evann Guessand,FW,24,2001-07-01,21,4,Crystal Palace
Ivory Coast,Alban Lafont,GK,27,1999-01-23,4,0,Panathinaikos
Ivory Coast,Bazoumana Touré,FW,20,2006-03-02,5,2,TSG Hoffenheim
Ivory Coast,Parfait Guiagon,MF,25,2001-02-22,5,0,Charleroi
Ivory Coast,Christ Inao Oulaï,MF,20,2006-04-06,8,0,Trabzonspor
Japan,Zion Suzuki,GK,23,2002-08-21,24,0,Parma
Japan,Yukinari Sugawara,DF,25,2000-06-28,21,2,Werder Bremen
Japan,Shōgo Taniguchi,DF,34,1991-07-15,38,1,Sint-Truiden
Japan,Kō Itakura,DF,29,1997-01-27,40,2,Ajax
Japan,Yūto Nagatomo,DF,39,1986-09-12,145,4,FC Tokyo
Japan,Wataru Endo (captain),MF,33,1993-02-09,73,4,Liverpool
Japan,Ao Tanaka,MF,27,1998-09-10,38,8,Leeds United
Japan,Takefusa Kubo,MF,25,2001-06-04,49,7,Real Sociedad
Japan,Keisuke Gotō,FW,21,2005-06-03,4,0,Sint-Truiden
Japan,Ritsu Dōan,MF,27,1998-06-16,65,11,Eintracht Frankfurt
Japan,Daizen Maeda,MF,28,1997-10-20,27,4,Celtic
Japan,Keisuke Ōsako,GK,26,1999-07-28,11,0,Sanfrecce Hiroshima
Japan,Keito Nakamura,MF,25,2000-07-28,25,10,Reims
Japan,Junya Itō,MF,33,1993-03-09,69,15,Genk
Japan,Daichi Kamada,MF,29,1996-08-05,49,12,Crystal Palace
Japan,Tsuyoshi Watanabe,DF,29,1997-02-05,11,0,Feyenoord
Japan,Yuito Suzuki,MF,24,2001-10-25,6,0,SC Freiburg
Japan,Ayase Ueda,FW,27,1998-08-28,39,16,Feyenoord
Japan,Kōki Ogawa,FW,28,1997-08-08,15,11,NEC
Japan,Ayumu Seko,DF,26,2000-06-07,14,0,Le Havre
Japan,Hiroki Itō,DF,27,1999-05-12,24,1,Bayern Munich
Japan,Takehiro Tomiyasu,DF,27,1998-11-05,43,1,Ajax
Japan,Tomoki Hayakawa,GK,27,1999-03-03,4,0,Kashima Antlers
Japan,Kaishū Sano,MF,25,2000-12-30,13,0,Mainz 05
Japan,Junnosuke Suzuki,DF,22,2003-07-12,6,0,Copenhagen
Japan,Kento Shiogai,FW,21,2005-03-26,2,0,VfL Wolfsburg
Netherlands,Bart Verbruggen,GK,23,2002-08-18,28,0,Brighton & Hove Albion
Netherlands,Jurriën Timber,DF,24,2001-06-17,24,0,Arsenal
Netherlands,Marten de Roon,MF,35,1991-03-29,43,1,Atalanta
Netherlands,Virgil van Dijk (captain),DF,34,1991-07-08,91,12,Liverpool
Netherlands,Nathan Aké,DF,31,1995-02-18,59,5,Manchester City
Netherlands,Jan Paul van Hecke,DF,26,2000-06-08,11,0,Brighton & Hove Albion
Netherlands,Justin Kluivert,MF,27,1999-05-05,12,0,Bournemouth
Netherlands,Ryan Gravenberch,MF,24,2002-05-16,26,1,Liverpool
Netherlands,Wout Weghorst,FW,33,1992-08-07,52,14,Ajax
Netherlands,Memphis Depay,FW,32,1994-02-13,109,55,Corinthians
Netherlands,Cody Gakpo,FW,27,1999-05-07,49,19,Liverpool
Netherlands,Mats Wieffer,DF,26,1999-11-16,15,1,Brighton & Hove Albion
Netherlands,Robin Roefs,GK,23,2003-01-17,1,0,Sunderland
Netherlands,Tijjani Reijnders,MF,27,1998-07-29,31,7,Manchester City
Netherlands,Micky van de Ven,DF,25,2001-04-19,20,1,Tottenham Hotspur
Netherlands,Guus Til,MF,28,1997-12-22,6,1,PSV Eindhoven
Netherlands,Noa Lang,FW,26,1999-06-17,15,3,Galatasaray
Netherlands,Donyell Malen,FW,27,1999-01-19,52,13,Roma
Netherlands,Brian Brobbey,FW,24,2002-02-01,11,1,Sunderland
Netherlands,Teun Koopmeiners,MF,28,1998-02-28,28,3,Juventus
Netherlands,Frenkie de Jong,MF,29,1997-05-12,65,2,Barcelona
Netherlands,Denzel Dumfries,DF,30,1996-04-18,71,11,Inter Milan
Netherlands,Mark Flekken,GK,32,1993-06-13,11,0,Bayer Leverkusen
Netherlands,Crysencio Summerville,FW,24,2001-10-30,1,0,West Ham United
Netherlands,Jorrel Hato,DF,20,2006-03-07,8,0,Chelsea
Netherlands,Quinten Timber,MF,24,2001-06-17,11,1,Marseille
Sweden,Jacob Widell Zetterström,GK,27,1998-07-11,3,0,Derby County
Sweden,Gustaf Lagerbielke,DF,26,2000-04-10,11,2,Braga
Sweden,Victor Lindelöf (captain),DF,31,1994-07-17,76,3,Aston Villa
Sweden,Isak Hien,DF,27,1999-01-13,29,0,Atalanta
Sweden,Gabriel Gudmundsson,DF,27,1999-04-29,24,0,Leeds United
Sweden,Herman Johansson,DF,28,1997-10-16,3,0,FC Dallas
Sweden,Lucas Bergvall,MF,20,2006-02-02,10,0,Tottenham Hotspur
Sweden,Daniel Svensson,DF,24,2002-02-12,13,0,Borussia Dortmund
Sweden,Alexander Isak,FW,26,1999-09-21,58,17,Liverpool
Sweden,Benjamin Nygren,MF,24,2001-07-08,11,3,Celtic
Sweden,Anthony Elanga,FW,24,2002-04-27,30,6,Newcastle United
Sweden,Viktor Johansson,GK,27,1998-09-14,12,0,Stoke City
Sweden,Ken Sema,MF,32,1993-09-30,33,5,Pafos
Sweden,Hjalmar Ekdal,DF,27,1998-10-21,13,0,Burnley
Sweden,Carl Starfelt,DF,31,1995-06-01,18,0,Celta Vigo
Sweden,Jesper Karlström,MF,30,1995-06-21,25,0,Udinese
Sweden,Viktor Gyökeres,FW,28,1998-06-04,33,20,Arsenal
Sweden,Yasin Ayari,MF,22,2003-10-06,21,3,Brighton & Hove Albion
Sweden,Mattias Svanberg,MF,27,1999-01-05,41,2,VfL Wolfsburg
Sweden,Eric Smith,DF,29,1997-01-08,2,0,FC St. Pauli
Sweden,Alexander Bernhardsson,DF,27,1998-09-08,11,0,Holstein Kiel
Sweden,Besfort Zeneli,MF,23,2002-11-21,8,0,Union Saint-Gilloise
Sweden,Kristoffer Nordfeldt,GK,36,1989-06-23,21,0,AIK
Sweden,Elliot Stroud,DF,23,2002-06-22,1,0,Mjällby AIF
Sweden,Gustaf Nilsson,FW,29,1997-05-23,10,4,Club Brugge
Sweden,Taha Ali,FW,27,1998-07-01,2,0,Malmö FF
Tunisia,Mouhib Chamakh,GK,24,2001-08-25,2,0,Club Africain
Tunisia,Ali Abdi,DF,32,1993-12-20,46,7,Nice
Tunisia,Montassar Talbi,DF,28,1998-05-26,63,4,Lorient
Tunisia,Omar Rekik,DF,24,2001-12-20,5,0,Maribor
Tunisia,Adem Arous,DF,21,2004-07-17,1,0,Kasımpaşa
Tunisia,Dylan Bronn,DF,30,1995-06-19,52,2,Servette
Tunisia,Elias Achouri,FW,27,1999-02-10,29,4,Copenhagen
Tunisia,Elias Saad,FW,26,1999-12-27,15,4,Hannover 96
Tunisia,Hazem Mastouri,FW,28,1997-06-18,18,4,Dynamo Makhachkala
Tunisia,Hannibal Mejbri,MF,23,2003-01-21,45,1,Burnley
Tunisia,Ismaël Gharbi,MF,22,2004-04-10,16,2,FC Augsburg
Tunisia,Mortadha Ben Ouanes,DF,31,1994-07-02,17,0,Kasımpaşa
Tunisia,Rani Khedira,MF,32,1994-01-27,3,0,Union Berlin
Tunisia,Khalil Ayari,MF,21,2005-02-02,3,0,Paris Saint-Germain
Tunisia,Hadj Mahmoud,MF,26,2000-04-24,8,0,Lugano
Tunisia,Aymen Dahmen,GK,29,1997-01-28,37,0,CS Sfaxien
Tunisia,Ellyes Skhiri (captain),MF,31,1995-05-10,82,4,Eintracht Frankfurt
Tunisia,Rayan Elloumi,FW,18,2007-09-17,3,0,Vancouver Whitecaps FC
Tunisia,Firas Chaouat,FW,30,1996-05-08,29,6,Club Africain
Tunisia,Yan Valery,DF,27,1999-02-22,22,0,Young Boys
Tunisia,Mohamed Amine Ben Hamida,DF,30,1995-12-15,12,0,Espérance de Tunis
Tunisia,Sabri Ben Hessen,GK,29,1996-06-13,2,0,Étoile du Sahel
Tunisia,Moutaz Neffati,DF,21,2004-09-04,5,0,IFK Norrköping
Tunisia,Raed Chikhaoui,DF,22,2004-06-09,0,0,US Monastir
Tunisia,Anis Ben Slimane,MF,25,2001-03-16,40,4,Norwich City
Tunisia,Sebastian Tounekti,MF,23,2002-07-13,11,1,Celtic
Belgium,Thibaut Courtois,GK,34,1992-05-11,108,0,Real Madrid
Belgium,Zeno Debast,DF,22,2003-10-24,26,1,Sporting CP
Belgium,Arthur Theate,DF,26,2000-05-25,33,1,Eintracht Frankfurt
Belgium,Brandon Mechele,DF,33,1993-01-28,8,1,Club Brugge
Belgium,Maxim De Cuyper,DF,25,2000-12-22,18,4,Brighton & Hove Albion
Belgium,Axel Witsel,MF,37,1989-01-12,137,12,Girona
Belgium,Kevin De Bruyne,MF,34,1991-06-28,118,36,Napoli
Belgium,Youri Tielemans (captain),MF,29,1997-05-07,84,13,Aston Villa
Belgium,Romelu Lukaku,FW,33,1993-05-13,125,90,Napoli
Belgium,Leandro Trossard,FW,31,1994-12-04,50,11,Arsenal
Belgium,Jérémy Doku,FW,24,2002-05-27,42,7,Manchester City
Belgium,Senne Lammens,GK,23,2002-07-07,2,0,Manchester United
Belgium,Mike Penders,GK,20,2005-07-31,0,0,Strasbourg
Belgium,Dodi Lukébakio,FW,28,1997-09-24,29,5,Benfica
Belgium,Thomas Meunier,DF,34,1991-09-12,79,10,Lille
Belgium,Koni De Winter,DF,23,2002-06-12,8,0,Milan
Belgium,Charles De Ketelaere,FW,25,2001-03-10,29,5,Atalanta
Belgium,Joaquin Seys,DF,21,2005-03-28,5,0,Club Brugge
Belgium,Diego Moreira,MF,21,2004-08-06,2,0,Strasbourg
Belgium,Hans Vanaken,MF,33,1992-08-24,33,7,Club Brugge
Belgium,Timothy Castagne,DF,30,1995-12-05,62,2,Fulham
Belgium,Alexis Saelemaekers,MF,26,1999-06-27,24,2,Milan
Belgium,Nicolas Raskin,MF,25,2001-02-23,12,1,Rangers
Belgium,Amadou Onana,MF,24,2001-08-16,28,1,Aston Villa
Belgium,Nathan Ngoy,DF,23,2003-06-10,3,0,Lille
Belgium,Matias Fernandez-Pardo,FW,21,2005-02-03,1,0,Lille
Egypt,Mohamed El Shenawy,GK,37,1988-12-18,76,0,Al Ahly
Egypt,Yasser Ibrahim,DF,33,1993-02-10,16,1,Al Ahly
Egypt,Mohamed Hany,DF,30,1996-02-02,41,0,Al Ahly
Egypt,Hossam Abdelmaguid,DF,25,2001-04-30,13,0,Zamalek
Egypt,Ramy Rabia,DF,33,1993-05-20,44,5,Al Ain
Egypt,Mohamed Abdelmonem,DF,27,1999-02-01,35,3,Nice
Egypt,Trézéguet,FW,31,1994-10-01,95,23,Al Ahly
Egypt,Emam Ashour,MF,28,1998-02-20,28,0,Al Ahly
Egypt,Hamza Abdelkarim,FW,18,2008-01-01,1,0,Barcelona
Egypt,Mohamed Salah (captain),FW,33,1992-06-15,115,67,Liverpool
Egypt,Mostafa Ziko,MF,29,1997-04-27,1,1,Pyramids
Egypt,Haissem Hassan,FW,24,2002-02-08,3,0,Oviedo
Egypt,Ahmed Fatouh,DF,28,1998-03-22,38,1,Zamalek
Egypt,Hamdy Fathy,MF,31,1994-09-29,62,3,Al-Wakrah
Egypt,Karim Hafez,DF,30,1996-03-12,8,0,Pyramids
Egypt,El Mahdy Soliman,GK,39,1987-06-08,0,0,Zamalek
Egypt,Mohanad Lasheen,MF,30,1996-05-29,22,0,Pyramids
Egypt,Nabil Emad,MF,30,1996-04-06,12,0,Al-Najma
Egypt,Marwan Attia,MF,27,1998-08-01,33,1,Al Ahly
Egypt,Ibrahim Adel,FW,25,2001-04-23,23,3,Nordsjælland
Egypt,Mahmoud Saber,MF,24,2001-07-30,15,1,ZED
Egypt,Omar Marmoush,FW,27,1999-02-07,48,11,Manchester City
Egypt,Mostafa Shobeir,GK,26,2000-05-15,8,0,Al Ahly
Egypt,Tarek Alaa,DF,24,2002-01-05,2,0,ZED
Egypt,Zizo,FW,30,1996-01-10,62,5,Al Ahly
Egypt,Mohamed Alaa,GK,27,1999-01-01,0,0,El Gouna
Iran,Alireza Beiranvand,GK,33,1992-09-21,85,0,Tractor
Iran,Saleh Hardani,DF,27,1998-12-26,17,1,Esteghlal
Iran,Ehsan Hajsafi (captain),DF,36,1990-02-25,145,7,Sepahan
Iran,Shojae Khalilzadeh,DF,37,1989-05-14,57,2,Tractor
Iran,Milad Mohammadi,DF,32,1993-09-29,75,1,Persepolis
Iran,Saeid Ezatolahi,MF,29,1996-10-01,82,1,Shabab Al Ahli
Iran,Alireza Jahanbakhsh,MF,32,1993-08-11,98,17,Dender
Iran,Mohammad Mohebi,MF,27,1998-12-20,36,14,Rostov
Iran,Mehdi Taremi,FW,33,1992-07-18,104,60,Olympiacos
Iran,Mehdi Ghayedi,FW,27,1998-12-05,29,10,Al Nasr
Iran,Ali Alipour,FW,30,1995-11-11,13,1,Persepolis
Iran,Payam Niazmand,GK,31,1995-04-06,15,0,Persepolis
Iran,Hossein Kanaanizadegan,DF,32,1994-03-23,64,6,Persepolis
Iran,Saman Ghoddos,MF,32,1993-09-06,67,3,Kalba
Iran,Rouzbeh Cheshmi,MF,32,1993-07-24,40,3,Esteghlal
Iran,Mehdi Torabi,MF,31,1994-09-10,52,7,Tractor
Iran,Aria Yousefi,DF,24,2002-04-22,13,1,Sepahan
Iran,Amirhossein Hosseinzadeh,FW,25,2000-10-30,17,5,Tractor
Iran,Ali Nemati,DF,30,1996-02-08,16,0,Foolad
Iran,Shahriyar Moghanlou,FW,31,1994-12-21,20,2,Kalba
Iran,Mohammad Ghorbani,MF,24,2001-10-07,15,0,Al Wahda
Iran,Hossein Hosseini,GK,33,1992-06-30,13,0,Sepahan
Iran,Ramin Rezaeian,DF,36,1990-03-21,73,7,Foolad
Iran,Dennis Eckert,FW,29,1997-01-09,0,0,Standard Liège
Iran,Danial Eiri,DF,22,2003-10-26,0,0,Malavan
Iran,Amirmohammad Razzaghinia,MF,20,2006-04-11,3,0,Esteghlal
New Zealand,Max Crocombe,GK,32,1993-08-12,23,0,Millwall
New Zealand,Tim Payne,DF,32,1994-01-10,50,3,Wellington Phoenix
New Zealand,Francis de Vries,DF,31,1994-11-28,19,1,Auckland FC
New Zealand,Tyler Bindon,DF,21,2005-01-27,24,3,Sheffield United
New Zealand,Michael Boxall,DF,37,1988-08-18,62,1,Minnesota United FC
New Zealand,Joe Bell,MF,27,1999-04-27,31,1,Viking
New Zealand,Matthew Garbett,MF,24,2002-04-13,36,5,Peterborough United
New Zealand,Marko Stamenić,MF,24,2002-02-19,38,3,Swansea City
New Zealand,Chris Wood (captain),FW,34,1991-12-07,89,45,Nottingham Forest
New Zealand,Sarpreet Singh,MF,27,1999-02-20,27,3,Wellington Phoenix
New Zealand,Elijah Just,MF,26,2000-05-01,43,9,Motherwell
New Zealand,Alex Paulsen,GK,23,2002-07-04,7,0,Lechia Gdańsk
New Zealand,Liberato Cacace,DF,25,2000-09-27,36,1,Wrexham
New Zealand,Alex Rufer,MF,29,1996-06-12,25,0,Wellington Phoenix
New Zealand,Nando Pijnaker,DF,27,1999-02-25,24,0,Auckland FC
New Zealand,Finn Surman,DF,22,2003-09-23,18,2,Portland Timbers
New Zealand,Kosta Barbarouses,FW,36,1990-02-19,75,10,Western Sydney Wanderers
New Zealand,Ben Waine,FW,25,2001-06-11,31,9,Port Vale
New Zealand,Ben Old,MF,23,2002-08-13,23,2,Saint-Étienne
New Zealand,Callum McCowatt,MF,27,1999-04-30,31,4,Silkeborg
New Zealand,Jesse Randall,FW,23,2002-08-19,10,2,Auckland FC
New Zealand,Michael Woud,GK,27,1999-01-16,6,0,Auckland FC
