team,player_name,position,age,date_of_birth,caps,goals,club
South Korea,Lee Gi-hyuk,MF,25,2000-07-07,3,0,Gangwon FC
South Korea,Kim Min-jae,DF,29,1996-11-15,79,4,Bayern Munich
South Korea,Kim Tae-hyeon,DF,25,2000-09-17,7,0,Kashima Antlers
South Korea,Hwang In-beom,MF,29,1996-09-20,73,6,Feyenoord
South Korea,Son Heung-min (captain),FW,33,1992-07-08,144,56,Los Angeles FC
South Korea,Paik Seung-ho,MF,29,1997-03-17,27,3,Birmingham City
South Korea,Cho Gue-sung,FW,28,1998-01-25,44,12,Midtjylland
South Korea,Lee Jae-sung,MF,33,1992-08-10,105,15,Mainz 05
South Korea,Hwang Hee-chan,MF,30,1996-01-26,79,17,Wolverhampton Wanderers
South Korea,Song Bum-keun,GK,28,1997-10-15,3,0,Jeonbuk Hyundai Motors
South Korea,Lee Tae-seok,DF,23,2002-07-28,15,1,Austria Wien
South Korea,Cho Wi-je,DF,24,2001-08-25,1,0,Jeonbuk Hyundai Motors
South Korea,Kim Moon-hwan,DF,30,1995-08-01,35,0,Daejeon Hana Citizen
South Korea,Park Jin-seob,DF,30,1995-10-23,14,1,Zhejiang
South Korea,Bae Jun-ho,MF,22,2003-08-21,13,2,Stoke City
South Korea,Oh Hyeon-gyu,FW,25,2001-04-12,27,6,Beşiktaş
South Korea,Lee Kang-in,MF,25,2001-02-19,47,11,Paris Saint-Germain
South Korea,Yang Hyun-jun,MF,24,2002-05-25,9,0,Celtic
South Korea,Jo Hyeon-woo,GK,34,1991-09-25,48,0,Ulsan HD
South Korea,Seol Young-woo,DF,27,1998-12-05,34,0,Red Star Belgrade
South Korea,Jens Castrop,DF,22,2003-07-29,7,0,Borussia Mönchengladbach
South Korea,Kim Jin-gyu,MF,29,1997-02-24,22,3,Jeonbuk Hyundai Motors
South Korea,Eom Ji-sung,MF,24,2002-05-09,9,2,Swansea City
South Korea,Lee Dong-gyeong,MF,28,1997-09-20,18,4,Ulsan HD
Bosnia and Herzegovina,Nikola Vasilj,GK,30,1995-12-02,25,0,FC St. Pauli
Bosnia and Herzegovina,Nihad Mujakić,DF,28,1998-04-15,11,1,Gaziantep
Bosnia and Herzegovina,Dennis Hadžikadunić,DF,27,1998-07-09,31,0,Sampdoria
Bosnia and Herzegovina,Tarik Muharemović,DF,23,2003-02-28,13,1,Sassuolo
Bosnia and Herzegovina,Sead Kolašinac,DF,32,1993-06-20,64,0,Atalanta
Bosnia and Herzegovina,Benjamin Tahirović,MF,23,2003-03-03,27,2,Brøndby
Bosnia and Herzegovina,Amar Dedić,DF,23,2002-08-18,27,1,Benfica
Bosnia and Herzegovina,Armin Gigović,MF,24,2002-04-06,19,1,Young Boys
Bosnia and Herzegovina,Samed Baždar,FW,22,2004-01-31,12,1,Jagiellonia Białystok
